
2025/02/28 (18:34:30) | ===> btop++ v.1.4.0
2025/02/28 (18:34:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/28 (18:34:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (18:35:38) | ===> btop++ v.1.4.0
2025/02/28 (18:35:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/28 (18:35:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (18:39:14) | ===> btop++ v.1.4.0
2025/02/28 (18:39:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (09:52:29) | ===> btop++ v.1.4.0
2025/03/04 (09:52:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (09:52:40) | ===> btop++ v.1.4.0
2025/03/04 (09:52:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (20:41:25) | ===> btop++ v.1.4.0
2025/03/05 (20:41:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (20:42:22) | ===> btop++ v.1.4.0
2025/03/05 (20:42:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:45:52) | ===> btop++ v.1.4.0
2025/03/12 (21:45:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:45:56) | ===> btop++ v.1.4.0
2025/03/12 (21:45:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (09:13:14) | ===> btop++ v.1.4.0
2025/03/13 (09:13:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (09:13:36) | ===> btop++ v.1.4.0
2025/03/13 (09:13:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (10:34:30) | ===> btop++ v.1.4.0
2025/03/14 (10:34:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (12:29:07) | ===> btop++ v.1.4.0
2025/04/05 (12:29:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (12:29:11) | ===> btop++ v.1.4.0
2025/04/05 (12:29:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (12:29:31) | ===> btop++ v.1.4.0
2025/04/05 (12:29:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (13:37:35) | ===> btop++ v.1.4.0
2025/04/21 (13:37:35) | WARNING: Intel GPU: Failed to initialize PMU
